"Step","generous-silence-10 - train/avg_reward_last_500","generous-silence-10 - train/avg_reward_last_500__MIN","generous-silence-10 - train/avg_reward_last_500__MAX"
"113","458.5964912280702","458.5964912280702","458.5964912280702"
"114","456.67826086956524","456.67826086956524","456.67826086956524"
"115","459.7931034482759","459.7931034482759","459.7931034482759"
"116","457.87179487179486","457.87179487179486","457.87179487179486"
"117","456.1101694915254","456.1101694915254","456.1101694915254"
"118","457.5798319327731","457.5798319327731","457.5798319327731"
"119","455.825","455.825","455.825"
"121","457.07377049180326","457.07377049180326","457.07377049180326"
"122","455.2845528455285","455.2845528455285","455.2845528455285"
"123","462.3709677419355","462.3709677419355","462.3709677419355"
"124","463.888","463.888","463.888"
"125","466.6031746031746","466.6031746031746","466.6031746031746"
"126","464.90551181102364","464.90551181102364","464.90551181102364"
"127","469.328125","469.328125","469.328125"
"129","465.9769230769231","465.9769230769231","465.9769230769231"
